SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
100,3BHK Builder Floor Apartment for Resale in Yamuna Vihar,Builder Floor Apartment,"New Delhi, Delhi NCR",yamuna vihar metro,New Delhi,Delhi NCR,India,450,650,4,3,1,1,3,Ready to Move,Unfurnished,3077,,Resale,East,,,100000,2000000
101,2BHK Builder Floor Apartment for Resale in Sector 3 Rohini,Builder Floor Apartment,"New Delhi, Delhi NCR",kendriya vidyalaya,New Delhi,Delhi NCR,India,600,650,3,2,2,1,2,Ready to Move,Furnished,8462,,Resale,North,1 Open,Freehold,100000,5500000
102,3BHK Builder Floor Apartment for New Property in Madhu Vihar,Builder Floor Apartment,"New Delhi, Delhi NCR",lakshmi bartan bhandar,New Delhi,Delhi NCR,India,900,920,4,3,3,1,3,Ready to Move,Semi-Furnished,4620,,New Property,North,1 Covered,Freehold,200000,4250000
103,1BHK Multistorey Apartment for Resale in Phase 3 Mayur Vihar,Apartment,"New Delhi, Delhi NCR",Located within walking distance to the Mayur Vihar Phase 3 Bus Stand.,New Delhi,Delhi NCR,India,500,600,2,1,1,1,1,Ready to Move,Furnished,6000,,Resale,East,1 Open,Freehold,200000,3600000
104,4BHK Builder Floor Apartment for Resale in Block G Saket,Builder Floor Apartment,"New Delhi, Delhi N",Bank of India,New Delhi,Delhi N,India,,2700,4,4,4,3,4,Ready to Move,Semi-Furnished,22222,,Resale,East,2 Covered,Freehold,0,60000000
105,2BHK Multistorey Apartment for Resale in Unity the Amaryllis at Karol Bagh,Apartment,"New Delhi, Delhi N",Karol bhag metro,New Delhi,Delhi N,India,852,1252,13,2,2,4,2,Ready to Move,Semi-Furnished,21565,,Resale,East,"1 Covered, 1 Open",Freehold,1000000,27000000
106,2BHK Multistorey Apartment for Resale in Sector 22 Rohini,Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,,585,4,2,2,,2,Ready to Move,Unfurnished,6838,,Resale,,,,0,4000000
107,1BHK Builder Floor Apartment for Resale in Uttam Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,,500,4,1,1,1,1,Ready to Move,Unfurnished,3000,,Resale,North,,Freehold,0,1500000
108,"3BHK Builder Floor Apartment for Resale in Tagore Garden, Rajouri Garden, Najafgarh Road",Builder Floor Apartment,"New Delhi, Delhi N",Tagore Garden,New Delhi,Delhi N,India,900,1000,4,3,2,2,3,Ready to Move,Semi-Furnished,17500,,Resale,West,"1 Covered, 1 Open",Freehold,100000,17500000
109,2BHK Builder Floor Apartment for Resale in Dwarka Mor,Builder Floor Apartment,"New Delhi, Delhi NCR",ICICI Bank,New Delhi,Delhi NCR,India,650,700,4,2,2,1,2,Ready to Move,Semi-Furnished,4000,,Resale,East,,Freehold,500000,2800000
110,2BHK Builder Floor Apartment for Resale in Laxmi Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",Laxmi Nagar metro,New Delhi,Delhi NCR,India,450,500,5,2,1,1,2,Ready to Move,Semi-Furnished,8800,,Resale,North,"1 Covered, 1 Open",Freehold,100000,4400000
111,4BHK Builder Floor Apartment for Resale in Pocket 2 Mayur Vihar,Builder Floor Apartment,"New Delhi, Delhi N","Opposite to RWA office Pocket-2, Opposite gate of Mayur Vihar Phase1 police station",New Delhi,Delhi N,India,1100,1200,4,4,2,3,4,Ready to Move,Semi-Furnished,11667,,Resale,North - East,2 Open,Freehold,100000,14000000
112,2BHK Builder Floor Apartment for Resale in Mahavir Enclave Part 1,Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,80,,4,2,2,1,2,Ready to Move,Semi-Furnished,,,Resale,,,,200000,4900000
113,3BHK Multistorey Apartment for Resale in Dwarka,Apartment,"New Delhi, Delhi NCR",Dwarka Mor Metro station,New Delhi,Delhi NCR,India,892,1000,4,3,2,1,3,Ready to Move,Semi-Furnished,5800,,Resale,East,1 Covered,Freehold,0,5800000
114,2BHK Multistorey Apartment for Resale in Uttam Nagar,Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,,540,3,2,,,2,Ready to Move,,4630,,Resale,,,,0,2500000
115,2BHK Builder Floor Apartment for Resale in Panchsheel Park,Builder Floor Apartment,"New Delhi, Delhi N",panchsheel park metro,New Delhi,Delhi N,India,2272,2525,4,2,3,,2,Ready to Move,Semi-Furnished,27723,,Resale,North,"1 Covered, 1 Open",Freehold,0,70000000
116,3BHK Builder Floor Apartment for Resale in Mehrauli,Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,1080,1350,4,3,2,1,3,Ready to Move,Semi-Furnished,5556,,Resale,,,,750000,7500000
117,3BHK Multistorey Apartment for Resale in Vasant Kunj,Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,,1800,4,3,2,,3,Ready to Move,Semi-Furnished,18611,,Resale,,,,0,33500000
118,3BHK Multistorey Apartment for Resale in Mahindra Park,Apartment,"New Delhi, Delhi NCR",navjeevan model public school,New Delhi,Delhi NCR,India,825,900,4,3,2,1,3,Ready to Move,Semi-Furnished,7667,,Resale,East,"1 Covered, 1 Open",Freehold,200000,6900000
119,1BHK Multistorey Apartment for Resale in Todapur,Apartment,"New Delhi, Delhi NCR","The property is near central delhi, with karol bagh only 10 min drive.",New Delhi,Delhi NCR,India,200,200,1,1,1,,1,Ready to Move,Furnished,15000,,Resale,North,1 Open,Freehold,150000,3000000
120,4BHK Multistorey Apartment for Resale in DDA Aravali Apartments at Alaknanda,Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,2200,2500,4,4,3,3,4,Ready to Move,Semi-Furnished,8400,,Resale,East,1 Open,Freehold,500000,21000000
121,"3BHK Builder Floor Apartment for Resale in Kiran Garden, Uttam Nagar",Builder Floor Apartment,"New Delhi, Delhi NCR",Hanuman Mandir,New Delhi,Delhi NCR,India,100,936,4,3,2,2,3,Ready to Move,Semi-Furnished,4915,,Resale,North - East,1 Covered,Freehold,200000,4600000
122,3BHK Multistorey Apartment for Resale in Phase 2 Chattarpur Enclave,Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,1125,1200,4,3,3,1,3,Ready to Move,Unfurnished,7500,,Resale,West,1 Covered,Power Of Attorney,0,9000000
123,4BHK Builder Floor Apartment for New Property in Swasthya Vihar,Builder Floor Apartment,"New Delhi, Delhi N",Preet vihar metro,New Delhi,Delhi N,India,2700,2700,4,4,4,2,4,Ready to Move,Furnished,22222,,New Property,West,,Freehold,100000,60000000
124,4BHK Multistorey Apartment for Resale in Greater Kailash,Apartment,"New Delhi, Delhi N",greater kailash metro,New Delhi,Delhi N,India,1500,1700,4,4,3,2,4,Ready to Move,Unfurnished,23235,,Resale,North - East,,Freehold,15000000,39500000
125,3BHK Builder Floor Apartment for Resale in Rajouri Garden,Builder Floor Apartment,"New Delhi, Delhi N",Gurudwara singh sabha,New Delhi,Delhi N,India,1220,1300,4,3,3,2,3,Ready to Move,Semi-Furnished,23077,,Resale,West,,Freehold,5000000,30000000
126,3BHK Builder Floor Apartment for New Property in West Patel Nagar,Builder Floor Apartment,"New Delhi, Delhi N",Patel Nagar Metro Station,New Delhi,Delhi N,India,1460,1800,4,3,3,2,3,Ready to Move,Semi-Furnished,19444,,New Property,South -West,"1 Covered, 1 Open",Freehold,1000000,35000000
127,2BHK Multistorey Apartment for Resale in Lajpat Nagar 2,Apartment,"New Delhi, Delhi N",Arya samaj temple,New Delhi,Delhi N,India,90,900,4,2,2,2,2,Ready to Move,Semi-Furnished,12778,,Resale,,,,0,11500000
128,3BHK Multistorey Apartment for Resale in Navkunj Apartment at Patparganj,Apartment,"New Delhi, Delhi N",Next to exta appartments on mother dairy road.,New Delhi,Delhi N,India,1700,,8,3,3,1,3,Ready to Move,Semi-Furnished,,,Resale,South,1 Open,Freehold,500000,27000000
129,"2BHK Builder Floor Apartment for Resale in Sewak Park, Dwarka",Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,,540,4,2,2,2,2,Ready to Move,Furnished,4630,,Resale,South - East,"1 Covered, 1 Open",Freehold,0,2500000
130,"4BHK Builder Floor Apartment for Resale in Ambika Vihar at Ambica Vihar, Paschim Vihar",Builder Floor Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,2268,,3,4,3,1,4,Ready to Move,Unfurnished,,,Resale,East,,Freehold,0,32000000
131,2BHK Penthouse for Resale in Green Park Extension,Penthouse,"New Delhi, Delhi N",AIIMS Trauma Centre,New Delhi,Delhi N,India,2700,2840,3,2,3,2,2,Ready to Move,Semi-Furnished,10176,,Resale,North,,Freehold,0,28900000
132,3BHK Builder Floor Apartment for Resale in Vishnu Garden,Builder Floor Apartment,"New Delhi, Delhi NCR",aggarwal sweats,New Delhi,Delhi NCR,India,900,1000,4,3,2,1,3,Ready to Move,Semi-Furnished,7000,,Resale,South -West,1 Open,Freehold,1000000,7000000
133,1BHK Builder Floor Apartment for Resale in Phase 1 Model Town,Builder Floor Apartment,"New Delhi, Delhi NCR",Model town metro,New Delhi,Delhi NCR,India,430,450,3,1,1,1,1,Ready to Move,Semi-Furnished,15556,,Resale,South - East,1 Open,Freehold,100000,7000000
134,1BHK Builder Floor Apartment for Resale in Mahavir Enclave Part 1,Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,450,450,4,1,1,1,1,Ready to Move,Unfurnished,5556,,Resale,North - East,,Freehold,250000,2500000
135,3BHK Builder Floor Apartment for Resale in Sector 5 Rohini,Builder Floor Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,1150,1211,4,3,2,1,3,Ready to Move,Semi-Furnished,11561,,Resale,,,Freehold,0,14000000
136,2BHK Multistorey Apartment for Resale in Nav Shakti Apartments at Ghitorni,Apartment,"New Delhi, Delhi NCR",ghitorni metro,New Delhi,Delhi NCR,India,900,1000,4,2,2,2,2,Ready to Move,Semi-Furnished,5000,,Resale,East,1 Covered,,1000000,5000000
137,4BHK Multistorey Apartment for Resale in C Block RWA Flats Chittranjan Park at Kalkaji,Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,2150,2350,4,4,3,3,4,Ready to Move,Unfurnished,16809,,Resale,West,,Freehold,1000000,39500000
138,3BHK Multistorey Apartment for Resale in Khirki Extension,Apartment,"New Delhi, Delhi NCR",apeejay school,New Delhi,Delhi NCR,India,110,1080,3,3,3,2,3,Ready to Move,Unfurnished,5370,,Resale,,,,0,5800000
139,3BHK Multistorey Apartment for Resale in RWA Khirki Ext at Khirki Extension,Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,110,1080,4,3,2,1,3,Ready to Move,Unfurnished,7870,,Resale,,,,250000,8500000
140,2BHK Multistorey Apartment for Resale in Project Sansad Vihar at Pitam Pura,Apartment,"New Delhi, Delhi N",Outer ring road.,New Delhi,Delhi N,India,792,1050,4,2,2,2,2,Ready to Move,Unfurnished,12381,,Resale,East,,Freehold,500000,13000000
141,3BHK Builder Floor Apartment for Resale in Block 2 Subhash Nagar,Builder Floor Apartment,"New Delhi, Delhi N",Rear chatri wala park,New Delhi,Delhi N,India,170,1530,4,3,4,2,3,Ready to Move,Unfurnished,8824,,Resale,West,"1 Covered, 1 Open",Freehold,0,13500000
142,3BHK Multistorey Apartment for Resale in Anandlok Housing Society at Mayur Vihar 1,Apartment,"New Delhi, Delhi N",Sikka Plaza,New Delhi,Delhi N,India,1300,1400,5,3,3,1,3,Ready to Move,Semi-Furnished,16786,,Resale,East,"1 Covered, 1 Open",Co-operative Society,100000,23500000
143,3BHK Builder Floor Apartment for Resale in Block A Vijay Enclave,Builder Floor Apartment,"New Delhi, Delhi NCR",Dashrathpuri metro station and Jindal public school near Maruti suzuki showroom,New Delhi,Delhi NCR,India,,1053,4,3,3,1,3,Ready to Move,Semi-Furnished,6125,,Resale,West,1 Covered,Freehold,50000,6450000
144,"2BHK Builder Floor Apartment for Resale in Rana Pratap Bagh, Ashok Vihar North",Builder Floor Apartment,"New Delhi, Delhi N",ashok vihar metro,New Delhi,Delhi N,India,1230,1360,4,2,2,1,2,Ready to Move,Semi-Furnished,9926,,Resale,,1 Open,,100000,13500000
145,3BHK Builder Floor Apartment for Resale in New Rajendra Nagar,Builder Floor Apartment,"New Delhi, Delhi N","Oppositie Sai Mandir, 2km away Rajinder Palace",New Delhi,Delhi N,India,1900,2000,3,3,2,2,3,Ready to Move,Semi-Furnished,13750,,Resale,East,2 Open,Freehold,100000,27500000
146,3BHK Builder Floor Apartment for Resale in Block J Rajouri Garden,Builder Floor Apartment,"New Delhi, Delhi N",Kalyan Jewellers,New Delhi,Delhi N,India,1350,1450,4,3,3,2,3,Ready to Move,Furnished,12759,,Resale,North,,Freehold,500000,18500000
147,2BHK Builder Floor Apartment for Resale in Block C Bhajanpura,Builder Floor Apartment,"New Delhi, Delhi NCR",Bhajanpura metro,New Delhi,Delhi NCR,India,900,950,4,2,2,1,2,Ready to Move,Semi-Furnished,5684,,Resale,North - East,,Freehold,10000,5400000
148,"2BHK Multistorey Apartment for Resale in Rajpur Khurd Extension, Rajpur",Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,750,800,5,2,2,1,2,Ready to Move,Semi-Furnished,5625,,Resale,,,,100000,4500000
149,3BHK Multistorey Apartment for Resale in DDA LIG Flats at Prasad Nagar,Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,900,950,3,3,2,1,3,Ready to Move,Unfurnished,11368,,Resale,South -West,,Freehold,100000,10800000
150,5BHK Builder Floor Apartment for Resale in Chattarpur Enclave,Builder Floor Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,2000,2000,4,5,4,2,5,Ready to Move,Semi-Furnished,6250,,Resale,South -West,2 Covered,Power Of Attorney,0,12500000
151,"3BHK Builder Floor Apartment for Resale in Uttam Nagar East, Uttam Nagar",Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,,880,5,3,2,,3,Ready to Move,Semi-Furnished,3636,,Resale,,1 Covered,Freehold,640000,3200000
152,3BHK Multistorey Apartment for Resale in Swastik Apartments at Chattarpur,Apartment,"New Delhi, Delhi NCR",oodles hotel,New Delhi,Delhi NCR,India,120,1170,4,3,2,1,3,Ready to Move,Semi-Furnished,6496,,Resale,,1 Covered,,0,7600000
153,"2BHK Builder Floor Apartment for Resale in Rama Park, Nawada",Builder Floor Apartment,"New Delhi, Delhi NCR",Sharma Sweets,New Delhi,Delhi NCR,India,55,522,4,2,2,1,2,Ready to Move,Unfurnished,3448,,Resale,North,,Freehold,0,1800000
154,3BHK Multistorey Apartment for Resale in Uttam Nagar,Apartment,"New Delhi, Delhi NCR",Nirankari bhawan,New Delhi,Delhi NCR,India,860,900,4,3,2,1,3,Ready to Move,Semi-Furnished,6889,,Resale,,,Freehold,0,6200000
155,2BHK Multistorey Apartment for Resale in Balbir Nagar Shahdara,Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,580,600,4,2,1,2,2,Ready to Move,Semi-Furnished,5333,,Resale,North,,Freehold,0,3200000
156,2BHK Multistorey Apartment for Resale in DDA Flats Safdarjung at Safdarjung Enclave,Apartment,"New Delhi, Delhi N",deer park,New Delhi,Delhi N,India,1245,1345,2,2,3,,2,Ready to Move,Semi-Furnished,26022,,Resale,West,,Freehold,0,35000000
157,2BHK Builder Floor Apartment for Resale in Block P Raj Nagar Extension,Builder Floor Apartment,"New Delhi, Delhi NCR",Malaria Institute,New Delhi,Delhi NCR,India,56,540,5,2,2,1,2,Ready to Move,Unfurnished,6481,,Resale,East,,Freehold,0,3500000
158,2BHK Multistorey Apartment for Resale in Saket,Apartment,"New Delhi, Delhi NCR",saket metro,New Delhi,Delhi NCR,India,1160,1200,4,2,2,1,2,Ready to Move,Semi-Furnished,4500,,Resale,North,,,0,5400000
159,2BHK Builder Floor Apartment for Resale in Shahdara,Builder Floor Apartment,"New Delhi, Delhi NCR",Shahdara metro,New Delhi,Delhi NCR,India,400,500,3,2,1,1,2,Ready to Move,Unfurnished,5800,,Resale,East,1 Open,Freehold,100000,2900000
160,2BHK Builder Floor Apartment for Resale in Sector 8 Rohini,Builder Floor Apartment,"New Delhi, Delhi NCR",nav durga mandir,New Delhi,Delhi NCR,India,560,565,3,2,2,,2,Ready to Move,Furnished,10619,,Resale,East,1 Open,Freehold,300000,6000000
161,"2BHK Builder Floor Apartment for Resale in Old Mahavir Nagar, Tilak Nagar",Builder Floor Apartment,"New Delhi, Delhi NCR",Central Hospital,New Delhi,Delhi NCR,India,900,940,3,2,2,2,2,Ready to Move,Semi-Furnished,8723,,Resale,East,,Freehold,0,8200000
162,1BHK Builder Floor Apartment for Resale in Begampur,Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,,180,5,1,1,,1,Ready to Move,Furnished,11111,,Resale,,,,0,2000000
163,1BHK Multistorey Apartment for Resale in Govindpuri,Apartment,"New Delhi, Delhi NCR",Vishal mega Mart,New Delhi,Delhi NCR,India,58,585,5,1,1,1,1,Ready to Move,Semi-Furnished,3077,,Resale,North - East,,Freehold,0,1800000
164,3BHK Multistorey Apartment for Resale in DDA Pocket A at Phase 2 Mayur Vihar,Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,,1200,4,3,2,2,3,Ready to Move,Unfurnished,10000,,Resale,East,,Freehold,100000,12000000
165,2BHK Builder Floor Apartment for New Property in Uttam Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,440,450,4,2,1,1,2,Ready to Move,Furnished,5111,,New Property,East,,Freehold,0,2300000
166,3BHK Multistorey Apartment for Resale in Vandana Apartment at Sector 13 Rohini,Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,1250,1350,3,3,2,1,3,Ready to Move,Unfurnished,18519,,Resale,North - East,,Freehold,0,25000000
167,3BHK Multistorey Apartment for Resale in DDA SFS Flats at D Block Janakpuri,Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,1200,1300,3,3,2,2,3,Ready to Move,Furnished,10385,,Resale,West,,Freehold,150000,13500000
168,2BHK Multistorey Apartment for Resale in Shyam Nagar Vishnu Garden,Apartment,"New Delhi, Delhi NCR",Subhash Nagar metro station,New Delhi,Delhi NCR,India,850,900,4,2,2,1,2,Ready to Move,Semi-Furnished,6444,,Resale,East,1 Covered,Freehold,0,5800000
169,2BHK Builder Floor Apartment for Resale in Palam Colony Palam,Builder Floor Apartment,"New Delhi, Delhi NCR",Near SBI Bank,New Delhi,Delhi NCR,India,600,650,4,2,1,1,2,Ready to Move,Semi-Furnished,4923,,Resale,East,1 Covered,Freehold,0,3200000
170,4BHK Builder Floor Apartment for Resale in Greater Kailash 2,Builder Floor Apartment,"New Delhi, Delhi N",The property is near to GK metro station.,New Delhi,Delhi N,India,300,,3,4,4,3,4,Ready to Move,Semi-Furnished,,,Resale,West,2 Covered,Freehold,0,62500000
171,3BHK Builder Floor Apartment for Resale in Rajouri Garden,Builder Floor Apartment,"New Delhi, Delhi N",Nahru market,New Delhi,Delhi N,India,150,1440,2,3,2,4,3,Ready to Move,Semi-Furnished,12500,,Resale,East,1 Open,Freehold,0,18000000
172,4BHK Multistorey Apartment for New Property in Greater Kailash 1,Apartment,"New Delhi, Delhi N",M block Market,New Delhi,Delhi N,India,2700,2100,4,4,4,2,4,Ready to Move,Unfurnished,40476,,New Property,South -West,,Freehold,0,85000000
173,"2BHK Builder Floor Apartment for Resale in Lajwanti Garden, Janakpuri",Builder Floor Apartment,"New Delhi, Delhi NCR",Opposite ICAT,New Delhi,Delhi NCR,India,675,700,4,2,2,2,2,Ready to Move,Semi-Furnished,10000,,Resale,North - East,1 Open,Freehold,1000000,7000000
174,3BHK Builder Floor Apartment for Resale in Shakti Nagar,Builder Floor Apartment,"New Delhi, Delhi N",Nangia Park,New Delhi,Delhi N,India,2100,2200,3,3,4,1,3,Ready to Move,Unfurnished,11136,,Resale,East,,Freehold,1000000,24500000
175,"4BHK Builder Floor Apartment for Resale in Yojna Vihar, Anand Vihar",Builder Floor Apartment,"New Delhi, Delhi N",Yamuna Sports Complex,New Delhi,Delhi N,India,2400,2500,4,4,4,2,4,Ready to Move,Semi-Furnished,22000,,Resale,West,"1 Covered, 1 Open",Freehold,100000,55000000
176,3BHK Multistorey Apartment for Resale in Mayur Vihar 1,Apartment,"New Delhi, Delhi N",Mayur vihar phase 1 metro,New Delhi,Delhi N,India,1100,1500,4,3,2,3,3,Ready to Move,Semi-Furnished,9000,,Resale,East,1 Open,Power Of Attorney,100000,13500000
177,3BHK Multistorey Apartment for Resale in Saubhagya Apartment at Sector 9 Rohini,Apartment,"New Delhi, Delhi N",North Ex mall,New Delhi,Delhi N,India,1200,,4,3,2,2,3,Ready to Move,Semi-Furnished,,,Resale,,"1 Covered, 1 Open",Freehold,0,17000000
178,3BHK Builder Floor Apartment for Resale in Hari Nagar,Builder Floor Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,1011,1265,4,3,3,1,3,Ready to Move,Unfurnished,14625,,Resale,West,,Freehold,0,18500000
179,1BHK Multistorey Apartment for Resale in Jangpura B at Jangpura,Apartment,"New Delhi, Delhi NCR",Gufa Wala Mandir,New Delhi,Delhi NCR,India,450,500,4,1,1,1,1,Ready to Move,Unfurnished,7000,,Resale,North - East,,Freehold,100000,3500000
180,3BHK Multistorey Apartment for Resale in Raja Puri Matiala,Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,,1420,5,3,2,2,3,Ready to Move,Unfurnished,3873,,Resale,West,301 Covered,Co-operative Society,0,5500000
181,3BHK Builder Floor Apartment for Resale in Laxmi Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",Shreya Bakers,New Delhi,Delhi NCR,India,1050,1100,3,3,3,3,3,Ready to Move,Semi-Furnished,6545,,Resale,West,1 Open,Freehold,10000,7200000
