SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
552,"3BHK Multistorey Apartment for New Property in Narsingi, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",Mallanaswami Temple,Hyderabad,Andhra Pradesh,India,1900,1960,5,3,3,2,3,Ready to Move,Unfurnished,7398,,New Property,West,,Freehold,0,14500000
553,2BHK Residential House for Resale in Ramachandrapuram,Residential House,"Hyderabad, Andhra Pradesh",bachpan academic height school,Hyderabad,Andhra Pradesh,India,940,1000,3,2,2,,2,Ready to Move,Unfurnished,11000,,Resale,West,"1 Covered, 1 Open",Freehold,0,11000000
554,3BHK Multistorey Apartment for Resale in Rukmini Devi Colony at West Marredpally,Apartment,"Hyderabad, Andhra Pradesh",Stop  Go Bakery,Hyderabad,Andhra Pradesh,India,1800,2000,3,3,2,1,3,Ready to Move,Semi-Furnished,7500,,Resale,West,"1 Covered, 1 Open",Freehold,0,15000000
555,3BHK Villa for Resale in Suchitra Road,Villa,"Hyderabad, Andhra Pradesh",Indian oil petrol pump,Hyderabad,Andhra Pradesh,India,1450,1800,,3,3,3,3,Ready to Move,Furnished,13889,,Resale,,,,250000,25000000
556,"3BHK Multistorey Apartment for New Property in Vasavi Lake City at Hafeezpet, NH 9",Apartment,"Hyderabad, Andhra Pradesh","Easy access to Miyapur, Kondapur and Hitech City",Hyderabad,Andhra Pradesh,India,1259,1915,14,3,3,3,3,Under Construction,Unfurnished,10235,,New Property,East,2 Covered,Freehold,500000,19600000
557,"5BHK Residential House for New Property in Vanasthalipuram, NH 9",Residential House,"Hyderabad, Andhra Pradesh",Mamatha school of nursing.,Hyderabad,Andhra Pradesh,India,130,1395,2,5,5,2,5,Ready to Move,Semi-Furnished,16129,,New Property,West,"1 Covered, 1 Open",Freehold,0,22500000
558,3BHK Multistorey Apartment for Resale in ASBL Lakeside  at Manikonda Jagir,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,1836,10,3,3,2,3,Ready to Move,Unfurnished,15795,,Resale,,,,2500000,29000000
559,2BHK Residential House for Resale in New Dilsukh Nagar Colony,Residential House,"Hyderabad, Andhra Pradesh",Dilsukhnagar metro station,Hyderabad,Andhra Pradesh,India,800,1710,1,2,2,3,2,Ready to Move,Unfurnished,11696,,Resale,East,,Freehold,0,20000000
560,6BHK Villa for New Property in Aparna Western Meadows at Mokila,Villa,"Hyderabad, Andhra Pradesh",This is next Jubilee Hills. please text or call me. I can send you the clear video,Hyderabad,Andhra Pradesh,India,,12300,,6,5,5,6,Ready to Move,Unfurnished,9350,,New Property,North - West,,Freehold,0,115000000
561,"3BHK Multistorey Apartment for Resale in EIPL Rivera at Manchirevula, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",Narsingi Exit 18,Hyderabad,Andhra Pradesh,India,2100,2170,5,3,3,3,3,Ready to Move,Unfurnished,6912,,Resale,East,2 Covered,Freehold,500000,15000000
562,3BHK Multistorey Apartment for Resale in Aparna Serenity at Kompally,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1525,1525,13,3,2,1,3,Ready to Move,Unfurnished,8393,,Resale,North,2 Covered,Freehold,0,12800000
563,3BHK Multistorey Apartment for Resale in Shilpa Vally at Kondapur,Apartment,"Hyderabad, Andhra Pradesh",my home  Mangala,Hyderabad,Andhra Pradesh,India,1200,1600,5,3,3,2,3,Ready to Move,Unfurnished,7625,,Resale,East,1 Covered,Freehold,100000,12200000
564,3BHK Multistorey Apartment for Resale in Krishe Gardens at Begumpet,Apartment,"Hyderabad, Andhra Pradesh",Rasoolpura Metro Station,Hyderabad,Andhra Pradesh,India,1800,1810,,3,2,2,3,Ready to Move,Furnished,11050,,Resale,East,1 Covered,Freehold,0,20000000
565,"2BHK Multistorey Apartment for Resale in Sri Sri Kala Kuteers at LB Nagar, NH 9",Apartment,"Hyderabad, Andhra Pradesh",behind Chintalakunta Dargha,Hyderabad,Andhra Pradesh,India,,1375,5,2,3,2,2,Ready to Move,Unfurnished,8000,,Resale,West,,Freehold,0,11000000
566,4BHK Residential House for Resale in Narepally,Residential House,"Hyderabad, Andhra Pradesh",McDonalds,Hyderabad,Andhra Pradesh,India,130,1350,1,4,4,4,4,Ready to Move,Unfurnished,10000,,Resale,North,,Freehold,0,13500000
567,2BHK Residential House for Resale in Badangpet,Residential House,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,1586,1,2,3,,2,Ready to Move,Semi-Furnished,7566,,Resale,North - West,1 Covered,Freehold,0,12000000
568,"2BHK Residential House for Resale in Quthbullapur, NH 7",Residential House,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1200,,,2,2,,2,Ready to Move,Unfurnished,,,Resale,,,,2500000,15000000
569,3BHK Residential House for Resale in Defence Colony Sainikpuri,Residential House,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,2082,1,3,3,1,3,Ready to Move,Unfurnished,8549,,Resale,North - East,,Freehold,0,17800000
570,3BHK Residential House for Resale in Dammaiguda,Residential House,"Hyderabad, Andhra Pradesh",Reliance Store,Hyderabad,Andhra Pradesh,India,3000,3500,1,3,4,3,3,Ready to Move,Unfurnished,5857,,Resale,West,"1 Covered, 1 Open",Freehold,0,20500000
571,3BHK Multistorey Apartment for Resale in Project Doyens Colony at Lingampally Serilingampalle,Apartment,"Hyderabad, Andhra Pradesh",Near ALIND Employees colony.,Hyderabad,Andhra Pradesh,India,992,1355,5,3,2,1,3,Ready to Move,Unfurnished,9225,,Resale,West,,Freehold,500000,12500000
572,3BHK Residential House for Resale in Beeramguda Ramachandrapuram,Residential House,"Hyderabad, Andhra Pradesh",Opp lane  to Vijetha super market  Indian oil,Hyderabad,Andhra Pradesh,India,1650,1800,1,3,3,1,3,Ready to Move,Unfurnished,11111,,Resale,East,,Freehold,2000000,20000000
573,"5BHK Residential House for Resale in Vanasthalipuram, NH 9",Residential House,"Hyderabad, Andhra Pradesh",Area Government Hospital,Hyderabad,Andhra Pradesh,India,3200,3500,3,5,7,2,5,Ready to Move,Semi-Furnished,7143,,Resale,West,,Freehold,0,25000000
574,"2BHK Multistorey Apartment for Resale in Golden Tulip Estate, Kondapur",Apartment,"Hyderabad, Andhra Pradesh",sanskriti school,Hyderabad,Andhra Pradesh,India,1000,1220,5,2,2,2,2,Ready to Move,Semi-Furnished,8361,,Resale,East,"1 Covered, 1 Open",,0,10200000
575,4BHK Residential House for Resale in Bollineni Homes at Madhapur,Residential House,"Hyderabad, Andhra Pradesh",CGR school,Hyderabad,Andhra Pradesh,India,5400,5500,2,4,6,,4,Ready to Move,Furnished,25455,,Resale,,"1 Covered, 2 Open",Freehold,0,140000000
